	sourcehostcomb	clinical	environmental/other	total	epitype	OneHealth_host
990	bacteremia_Homo sapiens_clinical	27	0	27	bacteremia_homo-sapiens_clinical	Homosapiens
991	bagged spinach_HMV_environmental/other	0	1	1	bagged-spinach_hmv_environmental/other	plant_based_food
992	basil_HMV_environmental/other	0	11	11	basil_hmv_environmental/other	plant_based_food
993	bean field water source_HMV_environmental/other	0	1	1	bean-field-water-source_hmv_environmental/other	plant_based_food
994	bean soil_HMV_environmental/other	0	6	6	bean-soil_hmv_environmental/other	plant_based_food
995	bean water source_HMV_environmental/other	0	1	1	bean-water-source_hmv_environmental/other	plant_based_food
996	bean_HMV_environmental/other	0	3	3	bean_hmv_environmental/other	plant_based_food
997	beaver_HMV_environmental/other	0	1	1	beaver_hmv_environmental/other	Environment
998	beef carcass trim_HMV_environmental/other	0	2	2	beef-carcass-trim_hmv_environmental/other	Meat/Meatproduct
999	beef carcass_HMV_environmental/other	0	5	5	beef-carcass_hmv_environmental/other	Meat/Meatproduct
1000	beef cattle feces (Bos taurus)_HMV_environmental/other	0	65	65	beef-cattle-feces-(bos-taurus)_hmv_environmental/other	Ruminant
1001	beef cattle_HMV_clinical	5	0	5	beef-cattle_hmv_clinical	Homosapiens
1002	beef cubed steak_HMV_environmental/other	0	1	1	beef-cubed-steak_hmv_environmental/other	Meat/Meatproduct
1003	beef cutlet_HMV_environmental/other	0	1	1	beef-cutlet_hmv_environmental/other	Ruminant
1004	beef enrichment_HMV_environmental/other	0	1	1	beef-enrichment_hmv_environmental/other	Ruminant
1005	beef kidney_HMV_clinical	1	0	1	beef-kidney_hmv_clinical	Homosapiens
1006	beef streak_HMV_environmental/other	0	5	5	beef-streak_hmv_environmental/other	Ruminant
1007	beef trim_Bos_environmental/other	0	4	4	beef-trim_bos_environmental/other	Ruminant
1008	beef trim_HMV_environmental/other	0	17	17	beef-trim_hmv_environmental/other	Ruminant
1009	beef_HMV_environmental/other	0	273	273	beef_hmv_environmental/other	Ruminant
1010	bighorn sheep kidney_Ovis canadensis_environmental/other	0	1	1	bighorn-sheep-kidney_ovis-canadensis_environmental/other	Ruminant
1011	bighorn sheep spleen_Ovis canadensis_environmental/other	0	1	1	bighorn-sheep-spleen_ovis-canadensis_environmental/other	Ruminant
1012	bile (canis lupus familiaris)_HMV_environmental/other	0	2	2	bile-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1013	bile_Homo sapiens_clinical	2	0	2	bile_homo-sapiens_clinical	Homosapiens
1014	bile_cat_environmental/other	0	2	2	bile_cat_environmental/other	Environment
1015	biological fluid and/or tissue (Canis lupus familiaris)_HMV_environmental/other	0	1	1	biological-fluid-and/or-tissue-(canis-lupus-familiaris)_hmv_environmental/other	Dog
1016	biological tissue and/or fluid -Canis lupus familiaris_HMV_environmental/other	0	1	1	biological-tissue-and/or-fluid--canis-lupus-familiaris_hmv_environmental/other	Dog
1017	bird feces_Avian_environmental/other	0	4	4	bird-feces_avian_environmental/other	Environment
1018	bladder_Equus caballus_environmental/other	0	1	1	bladder_equus-caballus_environmental/other	Horse
1019	bladder_porcine_environmental/other	0	1	1	bladder_porcine_environmental/other	Swine
1020	blood aoudad (Ammotragus lervia)_Ammotragus lervia_environmental/other	0	1	1	blood-aoudad-(ammotragus-lervia)_ammotragus-lervia_environmental/other	Environment
1021	blood canine_HMV_environmental/other	0	1	1	blood-canine_hmv_environmental/other	Dog
1022	blood culture from newborn with neonatal bacterimia_Homo sapiens_clinical	2	0	2	blood-culture-from-newborn-with-neonatal-bacterimia_homo-sapiens_clinical	Homosapiens
1023	blood culture of newborn with neonatal bacterimia_Homo sapiens_clinical	1	0	1	blood-culture-of-newborn-with-neonatal-bacterimia_homo-sapiens_clinical	Homosapiens
1024	blood from patient with bacteremia_Homo sapiens_clinical	94	0	94	blood-from-patient-with-bacteremia_homo-sapiens_clinical	Homosapiens
1025	blood goat_Capra sp._environmental/other	0	1	1	blood-goat_capra-sp._environmental/other	Ruminant
1026	blood isolate_Homo sapiens_clinical	6	0	6	blood-isolate_homo-sapiens_clinical	Homosapiens
1027	blood venous isolate_Homo sapiens_clinical	1	0	1	blood-venous-isolate_homo-sapiens_clinical	Homosapiens
1028	blood_Equus caballus_environmental/other	0	1	1	blood_equus-caballus_environmental/other	Horse
1029	blood_HMV_clinical	5	0	5	blood_hmv_clinical	Homosapiens
1030	blood_Homo sapiens_clinical	428	0	428	blood_homo-sapiens_clinical	Homosapiens
1031	blood_horse_environmental/other	0	1	1	blood_horse_environmental/other	Horse
1032	bloodstream_Homo sapiens_clinical	8	0	8	bloodstream_homo-sapiens_clinical	Homosapiens
1033	blue cheese in wax_HMV_environmental/other	0	1	1	blue-cheese-in-wax_hmv_environmental/other	Dairy
1034	blue cheese_HMV_environmental/other	0	1	1	blue-cheese_hmv_environmental/other	Dairy
1035	blueberry_HMV_environmental/other	0	1	1	blueberry_hmv_environmental/other	plant_based_food
1036	boar feces_HMV_environmental/other	0	3	3	boar-feces_hmv_environmental/other	Environment
1037	bodily fluid_Homo sapiens_clinical	80	0	80	bodily-fluid_homo-sapiens_clinical	Homosapiens
1038	body fluid_Homo sapiens_clinical	1	0	1	body-fluid_homo-sapiens_clinical	Homosapiens
1039	bone from lame broiler_Gallus gallus_environmental/other	0	2	2	bone-from-lame-broiler_gallus-gallus_environmental/other	Poultry
1040	bone marrow (Equus ferus caballus)_Equus caballus_environmental/other	0	2	2	bone-marrow-(equus-ferus-caballus)_equus-caballus_environmental/other	Horse
1041	bone marrow (Odocoileus virginianus)_Odocoileus virginianus_environmental/other	0	1	1	bone-marrow-(odocoileus-virginianus)_odocoileus-virginianus_environmental/other	Environment
1042	bone marrow (Ovis aries)_Ovis aries_environmental/other	0	1	1	bone-marrow-(ovis-aries)_ovis-aries_environmental/other	Environment
1043	bone marrow_Meleagris_environmental/other	0	2	2	bone-marrow_meleagris_environmental/other	Poultry
1044	bone-in pork chop_HMV_environmental/other	0	2	2	bone-in-pork-chop_hmv_environmental/other	Environment
1045	bone_Homo sapiens_clinical	4	0	4	bone_homo-sapiens_clinical	Homosapiens
1046	boneless beef_HMV_environmental/other	0	36	36	boneless-beef_hmv_environmental/other	Meat/Meatproduct
1047	boneless chicken breast_HMV_environmental/other	0	1	1	boneless-chicken-breast_hmv_environmental/other	Meat/Meatproduct
1048	boneless skinless chicken breast rib frozen_HMV_environmental/other	0	1	1	boneless-skinless-chicken-breast-rib-frozen_hmv_environmental/other	Meat/Meatproduct
1049	boneless skinless chicken breast_HMV_environmental/other	0	19	19	boneless-skinless-chicken-breast_hmv_environmental/other	Meat/Meatproduct
1050	boneless skinless chicken thigh_HMV_environmental/other	0	2	2	boneless-skinless-chicken-thigh_hmv_environmental/other	Meat/Meatproduct
1051	boneless veal_HMV_environmental/other	0	1	1	boneless-veal_hmv_environmental/other	Meat/Meatproduct
1052	bovine calf feces (Bos taurus)_HMV_environmental/other	0	2	2	bovine-calf-feces-(bos-taurus)_hmv_environmental/other	Ruminant
1053	bovine cow blood_bovine_environmental/other	0	2	2	bovine-cow-blood_bovine_environmental/other	Ruminant
1054	bovine cow brain_Bos taurus_environmental/other	0	1	1	bovine-cow-brain_bos-taurus_environmental/other	Ruminant
1055	bovine cow brain_bovine_environmental/other	0	1	1	bovine-cow-brain_bovine_environmental/other	Ruminant
1056	bovine cow cerebrospinal fluid_bovine_environmental/other	0	1	1	bovine-cow-cerebrospinal-fluid_bovine_environmental/other	Ruminant
1057	bovine cow colon_Bos taurus_environmental/other	0	1	1	bovine-cow-colon_bos-taurus_environmental/other	Ruminant
1058	bovine cow colon_bovine_environmental/other	0	1	1	bovine-cow-colon_bovine_environmental/other	Ruminant
1059	bovine cow duodenum_Bos taurus_environmental/other	0	1	1	bovine-cow-duodenum_bos-taurus_environmental/other	Ruminant
1060	bovine cow gall bladder_Bos taurus_environmental/other	0	1	1	bovine-cow-gall-bladder_bos-taurus_environmental/other	Ruminant
1061	bovine cow ileum_bovine_environmental/other	0	2	2	bovine-cow-ileum_bovine_environmental/other	Ruminant
1062	bovine cow intestine large_Bos taurus_environmental/other	0	1	1	bovine-cow-intestine-large_bos-taurus_environmental/other	Ruminant
1063	bovine cow intestine large_cow_environmental/other	0	1	1	bovine-cow-intestine-large_cow_environmental/other	Ruminant
1064	bovine cow intestine small_Bos taurus_environmental/other	0	1	1	bovine-cow-intestine-small_bos-taurus_environmental/other	Ruminant
1065	bovine cow intestine small_bovine_environmental/other	0	10	10	bovine-cow-intestine-small_bovine_environmental/other	Ruminant
1066	bovine cow intestine small_cow_environmental/other	0	1	1	bovine-cow-intestine-small_cow_environmental/other	Ruminant
1067	bovine cow intestine_Bos taurus_environmental/other	0	10	10	bovine-cow-intestine_bos-taurus_environmental/other	Ruminant
1068	bovine cow intestine_bovine_environmental/other	0	7	7	bovine-cow-intestine_bovine_environmental/other	Ruminant
1069	bovine cow jejunum_Bos taurus_environmental/other	0	1	1	bovine-cow-jejunum_bos-taurus_environmental/other	Ruminant
1070	bovine cow jejunum_bovine_environmental/other	0	1	1	bovine-cow-jejunum_bovine_environmental/other	Ruminant
1071	bovine cow joint cavity_Bos taurus_environmental/other	0	1	1	bovine-cow-joint-cavity_bos-taurus_environmental/other	Ruminant
1072	bovine cow joint cavity_bovine_environmental/other	0	1	1	bovine-cow-joint-cavity_bovine_environmental/other	Ruminant
1073	bovine cow joint cavity_cow_environmental/other	0	1	1	bovine-cow-joint-cavity_cow_environmental/other	Ruminant
1074	bovine cow kidney_Bos taurus_environmental/other	0	1	1	bovine-cow-kidney_bos-taurus_environmental/other	Ruminant
1075	bovine cow kidney_bovine_environmental/other	0	1	1	bovine-cow-kidney_bovine_environmental/other	Ruminant
1076	bovine cow liver_Bos taurus_environmental/other	0	1	1	bovine-cow-liver_bos-taurus_environmental/other	Ruminant
1077	bovine cow liver_bovine_environmental/other	0	3	3	bovine-cow-liver_bovine_environmental/other	Ruminant
1078	bovine cow lung_bovine_environmental/other	0	7	7	bovine-cow-lung_bovine_environmental/other	Ruminant
1079	bovine cow lymph node_Bos taurus_environmental/other	0	1	1	bovine-cow-lymph-node_bos-taurus_environmental/other	Ruminant
1080	bovine cow mammary gland_bovine_environmental/other	0	3	3	bovine-cow-mammary-gland_bovine_environmental/other	Ruminant
1081	bovine cow milk_bovine_environmental/other	0	15	15	bovine-cow-milk_bovine_environmental/other	Dairy
1082	bovine cow peritoneum_bovine_environmental/other	0	1	1	bovine-cow-peritoneum_bovine_environmental/other	Ruminant
1083	bovine cow rectum_Bos taurus_environmental/other	0	1	1	bovine-cow-rectum_bos-taurus_environmental/other	Ruminant
1084	bovine cow spleen_Bos taurus_environmental/other	0	4	4	bovine-cow-spleen_bos-taurus_environmental/other	Ruminant
1085	bovine cow spleen_bovine_environmental/other	0	1	1	bovine-cow-spleen_bovine_environmental/other	Ruminant
1086	bovine cow stomach_bovine_environmental/other	0	3	3	bovine-cow-stomach_bovine_environmental/other	Ruminant
1087	bovine cow uterus_Bos taurus_environmental/other	0	11	11	bovine-cow-uterus_bos-taurus_environmental/other	Ruminant
1088	bovine fecal (Bos taurus)_Bos taurus_environmental/other	0	85	85	bovine-fecal-(bos-taurus)_bos-taurus_environmental/other	Ruminant
1089	bovine feces_Bos taurus_environmental/other	0	3	3	bovine-feces_bos-taurus_environmental/other	Ruminant
1090	bovine feces_HMV_environmental/other	0	47	47	bovine-feces_hmv_environmental/other	Ruminant
1091	bovine intestine (Bos taurus)_Bos taurus_environmental/other	0	1	1	bovine-intestine-(bos-taurus)_bos-taurus_environmental/other	Ruminant
1092	bovine intestine small_Bos taurus_environmental/other	0	3	3	bovine-intestine-small_bos-taurus_environmental/other	Ruminant
1093	bovine intestine_HMV_environmental/other	0	1	1	bovine-intestine_hmv_environmental/other	Ruminant
1094	bovine mammary gland_Bos taurus_environmental/other	0	7	7	bovine-mammary-gland_bos-taurus_environmental/other	Ruminant
1095	bovine manure_HMV_environmental/other	0	93	93	bovine-manure_hmv_environmental/other	Ruminant
1096	bovine milk_Bos taurus_environmental/other	0	3	3	bovine-milk_bos-taurus_environmental/other	Dairy
1097	bovine spleen (Bos taurus)_Bos taurus_environmental/other	0	1	1	bovine-spleen-(bos-taurus)_bos-taurus_environmental/other	Ruminant
1098	bovine spleen_Bos taurus_environmental/other	0	1	1	bovine-spleen_bos-taurus_environmental/other	Ruminant
1099	bovine uterus (Bos taurus)_Bos taurus_environmental/other	0	1	1	bovine-uterus-(bos-taurus)_bos-taurus_environmental/other	Ruminant
1100	bovine_HMV_environmental/other	0	62	62	bovine_hmv_environmental/other	Ruminant
1101	brain (Sus scrofa scrofa)_Sus scrofa scrofa_environmental/other	0	1	1	brain-(sus-scrofa-scrofa)_sus-scrofa-scrofa_environmental/other	Swine
1102	brain pigeon_pigeon_environmental/other	0	8	8	brain-pigeon_pigeon_environmental/other	Swine
1103	brain_Bos taurus_environmental/other	0	1	1	brain_bos-taurus_environmental/other	Ruminant
1104	brain_Camelus dromedarius_environmental/other	0	1	1	brain_camelus-dromedarius_environmental/other	Environment
1105	brain_Canis lupus_environmental/other	0	1	1	brain_canis-lupus_environmental/other	Environment
1106	brain_Cygnus buccinator_environmental/other	0	1	1	brain_cygnus-buccinator_environmental/other	Environment
1107	brain_Gallus gallus domesticus_environmental/other	0	2	2	brain_gallus-gallus-domesticus_environmental/other	Poultry
1108	brain_Quiscalus quiscula_environmental/other	0	1	1	brain_quiscalus-quiscula_environmental/other	Environment
1109	bronch_Homo sapiens_clinical	1	0	1	bronch_homo-sapiens_clinical	Homosapiens
1110	bronchial alveolar lavage_Homo sapiens_clinical	1	0	1	bronchial-alveolar-lavage_homo-sapiens_clinical	Homosapiens
1111	brussel sprout_HMV_environmental/other	0	2	2	brussel-sprout_hmv_environmental/other	Environment
1112	bull manure_HMV_environmental/other	0	2	2	bull-manure_hmv_environmental/other	Environment
1113	bursa_parrot_environmental/other	0	1	1	bursa_parrot_environmental/other	Environment
1114	buttock aspirate_Homo sapiens_clinical	1	0	1	buttock-aspirate_homo-sapiens_clinical	Homosapiens
1115	cabbage PBS washate (Cabbage)_HMV_environmental/other	0	1	1	cabbage-pbs-washate-(cabbage)_hmv_environmental/other	plant_based_food
1116	caecum (Equus ferus caballus)_equine_environmental/other	0	1	1	caecum-(equus-ferus-caballus)_equine_environmental/other	Horse
1117	caecum (Gallus gallus)_Gallus gallus_environmental/other	0	1	1	caecum-(gallus-gallus)_gallus-gallus_environmental/other	Poultry
1118	caecum domestic rabbit_HMV_environmental/other	0	1	1	caecum-domestic-rabbit_hmv_environmental/other	Environment
1119	caecum domestic rabbit_lampine_environmental/other	0	2	2	caecum-domestic-rabbit_lampine_environmental/other	Environment
1120	caecum domestic rabbit_rabbit(dom)_environmental/other	0	1	1	caecum-domestic-rabbit_rabbit(dom)_environmental/other	Environment
1121	caecum quail_quail_environmental/other	0	1	1	caecum-quail_quail_environmental/other	Environment
1122	calf feces_Bos taurus_environmental/other	0	10	10	calf-feces_bos-taurus_environmental/other	Ruminant
1123	calf_Bos taurus_environmental/other	0	11	11	calf_bos-taurus_environmental/other	Ruminant
1124	camelid_HMV_environmental/other	0	1	1	camelid_hmv_environmental/other	Environment
1125	canine colon_Canis lupus_environmental/other	0	1	1	canine-colon_canis-lupus_environmental/other	Dog
1126	canine colon_canine_environmental/other	0	1	1	canine-colon_canine_environmental/other	Dog
1127	canine ear swab_HMV_environmental/other	0	2	2	canine-ear-swab_hmv_environmental/other	Dog
1128	canine fecal_HMV_environmental/other	0	8	8	canine-fecal_hmv_environmental/other	Dog
1129	canine feces_Canis lupus_environmental/other	0	2	2	canine-feces_canis-lupus_environmental/other	Dog
1130	canine intestine_Canis lupus_environmental/other	0	1	1	canine-intestine_canis-lupus_environmental/other	Dog
1131	canine intestine_canine_environmental/other	0	1	1	canine-intestine_canine_environmental/other	Dog
1132	canine rectum_Canis lupus_environmental/other	0	2	2	canine-rectum_canis-lupus_environmental/other	Dog
1133	canine skin_HMV_environmental/other	0	1	1	canine-skin_hmv_environmental/other	Dog
1134	canine urine swab_HMV_environmental/other	0	2	2	canine-urine-swab_hmv_environmental/other	Dog
1135	canine urine_Canis lupus_environmental/other	0	1	1	canine-urine_canis-lupus_environmental/other	Dog
1136	canine urine_HMV_environmental/other	0	3	3	canine-urine_hmv_environmental/other	Dog
1137	canine uterine swab_HMV_environmental/other	0	1	1	canine-uterine-swab_hmv_environmental/other	Dog
1138	canine vagina_canine_environmental/other	0	1	1	canine-vagina_canine_environmental/other	Dog
1139	canine_HMV_environmental/other	0	8	8	canine_hmv_environmental/other	Dog
1140	canis lupus familiaris Canine urine_HMV_environmental/other	0	4	4	canis-lupus-familiaris-canine-urine_hmv_environmental/other	Dog
1141	canis rufus Prostatic wash fluid_HMV_environmental/other	0	1	1	canis-rufus-prostatic-wash-fluid_hmv_environmental/other	Environment
1142	cantalope_HMV_environmental/other	0	1	1	cantalope_hmv_environmental/other	Environment
1143	cantaloupe_HMV_environmental/other	0	6	6	cantaloupe_hmv_environmental/other	Environment
1144	cantelope_HMV_environmental/other	0	1	1	cantelope_hmv_environmental/other	Environment
1145	capercailie grouse_HMV_environmental/other	0	1	1	capercailie-grouse_hmv_environmental/other	Environment
1146	caribou_HMV_environmental/other	0	2	2	caribou_hmv_environmental/other	Environment
1147	carrot_HMV_environmental/other	0	5	5	carrot_hmv_environmental/other	plant_based_food
1148	cat feline_HMV_environmental/other	0	2	2	cat-feline_hmv_environmental/other	Environment
1149	cat food_HMV_environmental/other	0	7	7	cat-food_hmv_environmental/other	Environment
1150	cat_HMV_environmental/other	0	3	3	cat_hmv_environmental/other	Environment
1151	catheter tip_Homo sapiens_clinical	1	0	1	catheter-tip_homo-sapiens_clinical	Homosapiens
1152	catheterized specimen_Homo sapiens_clinical	1	0	1	catheterized-specimen_homo-sapiens_clinical	Homosapiens
1153	cattle fecal samples_HMV_environmental/other	0	261	261	cattle-fecal-samples_hmv_environmental/other	Ruminant
1154	cattle fecal swab_HMV_environmental/other	0	2	2	cattle-fecal-swab_hmv_environmental/other	Ruminant
1155	cattle feces (Bos taurus)_HMV_environmental/other	0	140	140	cattle-feces-(bos-taurus)_hmv_environmental/other	Ruminant
1156	cattle feces_HMV_environmental/other	0	314	314	cattle-feces_hmv_environmental/other	Ruminant
1157	cattle manure (Bos taurus)_HMV_environmental/other	0	135	135	cattle-manure-(bos-taurus)_hmv_environmental/other	Ruminant
1158	cattle manure with soil_HMV_environmental/other	0	3	3	cattle-manure-with-soil_hmv_environmental/other	Ruminant
1159	cattle manure_HMV_environmental/other	0	129	129	cattle-manure_hmv_environmental/other	Ruminant
1160	cattle_HMV_environmental/other	0	49	49	cattle_hmv_environmental/other	Ruminant
1161	cecum_Anserini_environmental/other	0	1	1	cecum_anserini_environmental/other	Environment
1162	cecum_Equus caballus_environmental/other	0	1	1	cecum_equus-caballus_environmental/other	Horse
1163	cecum_Gallus gallus_environmental/other	0	1	1	cecum_gallus-gallus_environmental/other	Poultry
1164	cecum_Meleagris gallopavo_environmental/other	0	1	1	cecum_meleagris-gallopavo_environmental/other	Poultry
1165	cecum_swine_environmental/other	0	1	1	cecum_swine_environmental/other	Swine
1166	celebe ape (Macaca nigra)_Macaca nigra (Celebes ape)_environmental/other	0	4	4	celebe-ape-(macaca-nigra)_macaca-nigra-(celebes-ape)_environmental/other	Environment
1167	celebese ape (Macaca nigra)_Macaca nigra (Celebes ape)_environmental/other	0	1	1	celebese-ape-(macaca-nigra)_macaca-nigra-(celebes-ape)_environmental/other	Environment
1168	celery_HMV_environmental/other	0	17	17	celery_hmv_environmental/other	plant_based_food
1169	cell culture_HMV_environmental/other	0	1	1	cell-culture_hmv_environmental/other	Environment
1170	cervidae european roe colon_european roe_environmental/other	0	1	1	cervidae-european-roe-colon_european-roe_environmental/other	Environment
1171	cervidae roe rectum_roe cervidae_environmental/other	0	1	1	cervidae-roe-rectum_roe-cervidae_environmental/other	Environment
1172	chair_HMV_environmental/other	0	1	1	chair_hmv_environmental/other	Environment
1173	chard_HMV_environmental/other	0	2	2	chard_hmv_environmental/other	plant_based_food
1174	cheddar cheese_HMV_environmental/other	0	3	3	cheddar-cheese_hmv_environmental/other	Dairy
1175	cheddar cheese_orangutan_environmental/other	0	1	1	cheddar-cheese_orangutan_environmental/other	Dairy
1176	cheese_HMV_environmental/other	0	20	20	cheese_hmv_environmental/other	Dairy
1177	cherry tomato_HMV_environmental/other	0	1	1	cherry-tomato_hmv_environmental/other	plant_based_food
1178	chicken breast (Gallus gallus)_HMV_environmental/other	0	4	4	chicken-breast-(gallus-gallus)_hmv_environmental/other	Meat/Meatproduct
1179	chicken breast tenderloin_HMV_environmental/other	0	36	36	chicken-breast-tenderloin_hmv_environmental/other	Meat/Meatproduct
1180	chicken breast_HMV_environmental/other	0	112	112	chicken-breast_hmv_environmental/other	Meat/Meatproduct
1181	chicken breasts_HMV_environmental/other	0	19	19	chicken-breasts_hmv_environmental/other	Meat/Meatproduct
1182	chicken disposal area soil_HMV_environmental/other	0	1	1	chicken-disposal-area-soil_hmv_environmental/other	Poultry
1183	chicken egg inside (Gallus gallus domesticus)_HMV_environmental/other	0	1	1	chicken-egg-inside-(gallus-gallus-domesticus)_hmv_environmental/other	Meat/Meatproduct
1184	chicken egg outside shell (Gallus gallus domesticus)_HMV_environmental/other	0	3	3	chicken-egg-outside-shell-(gallus-gallus-domesticus)_hmv_environmental/other	Meat/Meatproduct
1185	chicken feces (Gallus gallus)_Gallus gallus_environmental/other	0	69	69	chicken-feces-(gallus-gallus)_gallus-gallus_environmental/other	Poultry
1186	chicken feces houseback_HMV_environmental/other	0	1	1	chicken-feces-houseback_hmv_environmental/other	Poultry
1187	chicken feces housefront_HMV_environmental/other	0	1	1	chicken-feces-housefront_hmv_environmental/other	Poultry
1188	chicken gizzard_HMV_environmental/other	0	1	1	chicken-gizzard_hmv_environmental/other	Poultry
1189	chicken heart_HMV_environmental/other	0	3	3	chicken-heart_hmv_environmental/other	Poultry
1190	chicken joint_HMV_environmental/other	0	1	1	chicken-joint_hmv_environmental/other	Poultry
1191	chicken leg_HMV_environmental/other	0	9	9	chicken-leg_hmv_environmental/other	Poultry
1192	chicken meat_HMV_environmental/other	0	1	1	chicken-meat_hmv_environmental/other	Meat/Meatproduct
1193	chicken spleen_HMV_environmental/other	0	2	2	chicken-spleen_hmv_environmental/other	Poultry
1194	chicken thigh_HMV_environmental/other	0	21	21	chicken-thigh_hmv_environmental/other	Poultry
1195	chicken thighg_HMV_environmental/other	0	1	1	chicken-thighg_hmv_environmental/other	Poultry
1196	chicken thighs_HMV_environmental/other	0	6	6	chicken-thighs_hmv_environmental/other	Poultry
1197	chicken water_HMV_environmental/other	0	2	2	chicken-water_hmv_environmental/other	Poultry
1198	chicken wing (Gallus gallus)_HMV_environmental/other	0	1	1	chicken-wing-(gallus-gallus)_hmv_environmental/other	Meat/Meatproduct
1199	chicken wing_HMV_environmental/other	0	11	11	chicken-wing_hmv_environmental/other	Meat/Meatproduct
1200	chicken wings_HMV_environmental/other	0	12	12	chicken-wings_hmv_environmental/other	Meat/Meatproduct
1201	chicken yolk sac_HMV_environmental/other	0	3	3	chicken-yolk-sac_hmv_environmental/other	Meat/Meatproduct
1202	chicken_HMV_environmental/other	0	167	167	chicken_hmv_environmental/other	Poultry
1203	cider_HMV_environmental/other	0	1	1	cider_hmv_environmental/other	plant_based_food
1204	cilantro_HMV_environmental/other	0	30	30	cilantro_hmv_environmental/other	plant_based_food
1205	clacae_cockatoo_environmental/other	0	1	1	clacae_cockatoo_environmental/other	Environment
1206	clinical isolate_Homo sapiens_clinical	1	0	1	clinical-isolate_homo-sapiens_clinical	Homosapiens
1207	clinical_Homo sapiens_clinical	11	0	11	clinical_homo-sapiens_clinical	Homosapiens
1208	cloacae_duck_environmental/other	0	2	2	cloacae_duck_environmental/other	Poultry
1209	cloacae_pigeon_environmental/other	0	11	11	cloacae_pigeon_environmental/other	Swine
1210	cloacal mass_Catherpes mexicanus_environmental/other	0	1	1	cloacal-mass_catherpes-mexicanus_environmental/other	Environment
1211	cloacal swab_chicken_environmental/other	0	1	1	cloacal-swab_chicken_environmental/other	Poultry
1212	cloacal swab_crow_environmental/other	0	2	2	cloacal-swab_crow_environmental/other	Environment
1213	colon (Canis lupus)_Canis lupus_environmental/other	0	2	2	colon-(canis-lupus)_canis-lupus_environmental/other	Environment
1214	colon (Equus ferus caballus)_Equus caballus_environmental/other	0	2	2	colon-(equus-ferus-caballus)_equus-caballus_environmental/other	Horse
1215	colon (Equus ferus caballus)_equine_environmental/other	0	1	1	colon-(equus-ferus-caballus)_equine_environmental/other	Horse
1216	colon (Odocoileus virginianus)_Odocoileus virginianus_environmental/other	0	1	1	colon-(odocoileus-virginianus)_odocoileus-virginianus_environmental/other	Environment
1217	colon_Sus scrofa_environmental/other	0	1	1	colon_sus-scrofa_environmental/other	Swine
1218	colon_slender-horned gazella_environmental/other	0	1	1	colon_slender-horned-gazella_environmental/other	Environment
1219	comb swab_chicken_environmental/other	0	1	1	comb-swab_chicken_environmental/other	Poultry
1220	commercial raw goat milk_HMV_environmental/other	0	1	1	commercial-raw-goat-milk_hmv_environmental/other	Dairy
1221	comminuted beef_HMV_environmental/other	0	360	360	comminuted-beef_hmv_environmental/other	Meat/Meatproduct
1222	cooked chicken thigh_HMV_environmental/other	0	1	1	cooked-chicken-thigh_hmv_environmental/other	Poultry
1223	coriander_HMV_environmental/other	0	5	5	coriander_hmv_environmental/other	plant_based_food
1224	cougar_HMV_environmental/other	0	1	1	cougar_hmv_environmental/other	Environment
1225	cow fecal manure_HMV_environmental/other	0	2	2	cow-fecal-manure_hmv_environmental/other	Ruminant
1226	cow feces (Bos taurus)_Bos taurus_environmental/other	0	9	9	cow-feces-(bos-taurus)_bos-taurus_environmental/other	Ruminant
1227	cow feces_HMV_environmental/other	0	15	15	cow-feces_hmv_environmental/other	Ruminant
1228	cow manure scat soil_HMV_environmental/other	0	6	6	cow-manure-scat-soil_hmv_environmental/other	Ruminant
1229	cow manure_HMV_environmental/other	0	9	9	cow-manure_hmv_environmental/other	Ruminant
1230	cow paddock straw bedding bovine dairy_HMV_environmental/other	0	55	55	cow-paddock-straw-bedding-bovine-dairy_hmv_environmental/other	Ruminant
1231	cow paddock straw bedding bovine steer_HMV_environmental/other	0	9	9	cow-paddock-straw-bedding-bovine-steer_hmv_environmental/other	Ruminant
1232	cow paddock straw bedding bovine_HMV_environmental/other	0	1	1	cow-paddock-straw-bedding-bovine_hmv_environmental/other	Ruminant
1233	cow paddock straw bedding_HMV_environmental/other	0	120	120	cow-paddock-straw-bedding_hmv_environmental/other	Ruminant
1234	cow pasture fecal_HMV_environmental/other	0	2	2	cow-pasture-fecal_hmv_environmental/other	Ruminant
1235	cow soil_HMV_environmental/other	0	1	1	cow-soil_hmv_environmental/other	Ruminant
1236	cow water source_HMV_environmental/other	0	1	1	cow-water-source_hmv_environmental/other	Ruminant
1237	cow_HMV_environmental/other	0	165	165	cow_hmv_environmental/other	Ruminant
1238	coyote feces_Canis latrans_clinical	2	0	2	coyote-feces_canis-latrans_clinical	Homosapiens
1239	creamy soy nut butter_HMV_environmental/other	0	8	8	creamy-soy-nut-butter_hmv_environmental/other	Environment
1240	creamy soynut butter_HMV_environmental/other	0	7	7	creamy-soynut-butter_hmv_environmental/other	plant_based_food
1241	creek water_HMV_environmental/other	0	3	3	creek-water_hmv_environmental/other	Environment
1242	crow bird_HMV_environmental/other	0	1	1	crow-bird_hmv_environmental/other	Environment
1243	cucumber_HMV_environmental/other	0	6	6	cucumber_hmv_environmental/other	plant_based_food
1244	cucumbers_HMV_environmental/other	0	1	1	cucumbers_hmv_environmental/other	plant_based_food
